K155LA3,Up,Down
0,3.60215,0
0.00488759,3.60215,3.60215
0.00977517,3.60215,3.60215
0.0146628,3.60215,3.60215
0.0195503,3.60215,3.60215
0.0244379,3.60215,3.60215
0.0293255,3.60215,3.60215
0.0342131,3.60215,3.60215
0.0391007,3.60215,3.60215
0.0439883,3.60215,3.60215
0.0488759,3.60215,3.60215
0.0537634,3.60215,3.60215
0.058651,3.60215,3.60215
0.0635386,3.60215,3.60215
0.0684262,3.60215,3.60215
0.0733138,3.60215,3.60215
0.0782014,3.60215,3.60215
0.083089,3.60215,3.60215
0.0879765,3.60215,3.60215
0.0928641,3.60215,3.60215
0.0977517,3.60215,3.60215
0.102639,3.60215,3.60215
0.107527,3.60215,3.60215
0.112414,3.60215,3.60215
0.117302,3.60215,3.60215
0.12219,3.60215,3.60215
0.127077,3.60215,3.60215
0.131965,3.60215,3.60215
0.136852,3.60215,3.60215
0.14174,3.60215,3.60215
0.146628,3.60215,3.60215
0.151515,3.60215,3.60215
0.156403,3.60215,3.60215
0.16129,3.60215,3.60215
0.166178,3.60215,3.60215
0.171065,3.60215,3.60215
0.175953,3.60215,3.60215
0.180841,3.60215,3.60215
0.185728,3.60215,3.60215
0.190616,3.60215,3.60215
0.195503,3.60215,3.60215
0.200391,3.60215,3.60215
0.205279,3.60215,3.60215
0.210166,3.60215,3.60215
0.215054,3.60215,3.60215
0.219941,3.60215,3.60215
0.224829,3.60215,3.60215
0.229717,3.60215,3.60215
0.234604,3.60215,3.60215
0.239492,3.60215,3.60215
0.244379,3.60215,3.60215
0.249267,3.60215,3.60215
0.254154,3.60215,3.60215
0.259042,3.60215,3.60215
0.26393,3.60215,3.60215
0.268817,3.60215,3.60215
0.273705,3.60215,3.60215
0.278592,3.60215,3.60215
0.28348,3.60215,3.60215
0.288368,3.60215,3.60215
0.293255,3.60215,3.60215
0.298143,3.60215,3.60215
0.30303,3.60215,3.60215
0.307918,3.60215,3.60215
0.312805,3.60215,3.60215
