MM74C00,Up,Down
0,4.81916,0
0.00488759,4.81916,4.82405
0.00977517,4.81916,4.82405
0.0146628,4.81916,4.82405
0.0195503,4.81916,4.81916
0.0244379,4.81916,4.81916
0.0293255,4.81916,4.81916
0.0342131,4.81916,4.81916
0.0391007,4.81916,4.81916
0.0439883,4.81916,4.81916
0.0488759,4.81916,4.81916
0.0537634,4.81916,4.81916
0.058651,4.81916,4.81916
0.0635386,4.81916,4.81916
0.0684262,4.81916,4.81916
0.0733138,4.81916,4.81916
0.0782014,4.81916,4.81916
0.083089,4.81916,4.81916
0.0879765,4.81916,4.81916
0.0928641,4.81916,4.81916
0.0977517,4.81916,4.81916
0.102639,4.81916,4.81916
0.107527,4.81916,4.81916
0.112414,4.81916,4.81916
0.117302,4.81916,4.81916
0.12219,4.81916,4.81916
0.127077,4.81916,4.81916
0.131965,4.81916,4.81916
0.136852,4.81916,4.81916
0.14174,4.81916,4.81916
0.146628,4.81916,4.81916
0.151515,4.81916,4.81916
0.156403,4.81916,4.81916
0.16129,4.81427,4.81916
0.166178,4.81427,4.81916
0.171065,4.81427,4.81916
0.175953,4.81427,4.81916
0.180841,4.81916,4.81916
0.185728,4.81427,4.81427
0.190616,4.81427,4.81916
0.195503,4.81427,4.81916
0.200391,4.81427,4.81916
0.205279,4.81427,4.81427
0.210166,4.81427,4.81427
0.215054,4.81427,4.81427
0.219941,4.81427,4.81427
0.224829,4.81427,4.81427
0.229717,4.81427,4.81427
0.234604,4.81427,4.81427
0.239492,4.81427,4.81427
0.244379,4.81427,4.81427
0.249267,4.81427,4.81427
0.254154,4.81427,4.81427
0.259042,4.81427,4.81427
0.26393,4.81427,4.81427
0.268817,4.81427,4.81427
0.273705,4.81427,4.81427
0.278592,4.81427,4.81427
0.28348,4.81427,4.81427
0.288368,4.81427,4.81427
0.293255,4.81427,4.81427
0.298143,4.81427,4.81427
0.30303,4.81427,4.81427
0.307918,4.81427,4.81427
0.312805,4.81427,4.81427
0.317693,4.81427,4.81427
0.322581,4.80938,4.81427
0.327468,4.81427,4.81427
0.332356,4.80938,4.81427
0.337243,4.81427,4.81427
0.342131,4.80938,4.81427
0.347019,4.80938,4.80938
0.351906,4.80938,4.81427
0.356794,4.80938,4.80938
0.361681,4.80938,4.80938
0.366569,4.80938,4.80938
0.371457,4.80938,4.80938
0.376344,4.80938,4.80938
0.381232,4.80938,4.80938
0.386119,4.80938,4.80938
0.391007,4.80938,4.80938
0.395894,4.80938,4.80938
0.400782,4.80938,4.80938
0.40567,4.80938,4.80938
0.410557,4.80938,4.80938
0.415445,4.80938,4.80938
0.420332,4.80938,4.80938
0.42522,4.80938,4.80938
0.430108,4.80938,4.80938
0.434995,4.80938,4.80938
0.439883,4.80938,4.80938
0.44477,4.80938,4.80938
0.449658,4.80938,4.80938
0.454545,4.80938,4.80938
0.459433,4.80938,4.80938
0.464321,4.80938,4.80938
0.469208,4.80938,4.80938
0.474096,4.80938,4.80938
0.478983,4.8045,4.80938
0.483871,4.8045,4.80938
0.488759,4.80938,4.80938
0.493646,4.80938,4.80938
0.498534,4.8045,4.8045
0.503421,4.8045,4.80938
0.508309,4.8045,4.8045
0.513196,4.8045,4.8045
0.518084,4.8045,4.8045
0.522972,4.8045,4.8045
0.527859,4.8045,4.8045
0.532747,4.8045,4.8045
0.537634,4.8045,4.8045
0.542522,4.8045,4.8045
0.54741,4.8045,4.8045
0.552297,4.8045,4.8045
0.557185,4.8045,4.8045
0.562072,4.8045,4.8045
0.56696,4.8045,4.8045
0.571848,4.8045,4.8045
0.576735,4.8045,4.8045
0.581623,4.8045,4.8045
0.58651,4.8045,4.8045
0.591398,4.8045,4.8045
0.596285,4.8045,4.8045
0.601173,4.79961,4.8045
0.606061,4.79961,4.8045
0.610948,4.8045,4.8045
0.615836,4.79961,4.8045
0.620723,4.79961,4.8045
0.625611,4.79961,4.79961
0.630499,4.79961,4.79961
0.635386,4.79961,4.79961
0.640274,4.79961,4.8045
0.645161,4.79961,4.79961
0.650049,4.79961,4.79961
0.654936,4.79961,4.79961
0.659824,4.79961,4.79961
0.664712,4.79961,4.79961
0.669599,4.79961,4.79961
0.674487,4.79961,4.79961
0.679374,4.79961,4.79961
0.684262,4.79961,4.79961
0.68915,4.79961,4.79961
0.694037,4.79961,4.79961
0.698925,4.79961,4.79961
0.703812,4.79961,4.79961
0.7087,4.79961,4.79961
0.713587,4.79961,4.79961
0.718475,4.79961,4.79961
0.723363,4.79961,4.79961
0.72825,4.79472,4.79961
0.733138,4.79961,4.79961
0.738025,4.79472,4.79961
0.742913,4.79472,4.79961
0.747801,4.79472,4.79961
0.752688,4.79472,4.79961
0.757576,4.79472,4.79961
0.762463,4.79472,4.79961
0.767351,4.79472,4.79472
0.772239,4.79472,4.79472
0.777126,4.79472,4.79961
0.782014,4.79472,4.79472
0.786901,4.79472,4.79472
0.791789,4.79472,4.79472
0.796676,4.79472,4.79472
0.801564,4.79472,4.79472
0.806452,4.79472,4.79472
0.811339,4.79472,4.79472
0.816227,4.79472,4.79472
0.821114,4.79472,4.79472
0.826002,4.79472,4.79472
0.83089,4.78983,4.79472
0.835777,4.78983,4.79472
0.840665,4.78983,4.79472
0.845552,4.78983,4.79472
0.85044,4.79472,4.79472
0.855327,4.78983,4.79472
0.860215,4.78983,4.79472
0.865103,4.78983,4.79472
0.86999,4.78983,4.78983
0.874878,4.78983,4.78983
0.879765,4.78983,4.78983
0.884653,4.78983,4.78983
0.889541,4.78983,4.78983
0.894428,4.78983,4.78983
0.899316,4.78983,4.78983
0.904203,4.78983,4.78983
0.909091,4.78983,4.78983
0.913978,4.78983,4.78983
0.918866,4.78983,4.78983
0.923754,4.78983,4.78983
0.928641,4.78983,4.78983
0.933529,4.78983,4.78983
0.938416,4.78983,4.78983
0.943304,4.78495,4.78983
0.948192,4.78983,4.78983
0.953079,4.78495,4.78983
0.957967,4.78495,4.78983
0.962854,4.78495,4.78495
0.967742,4.78495,4.78495
0.97263,4.78495,4.78495
0.977517,4.78495,4.78495
0.982405,4.78495,4.78495
0.987292,4.78495,4.78495
0.99218,4.78495,4.78495
0.997067,4.78495,4.78495
1.00196,4.78495,4.78495
1.00684,4.78495,4.78495
1.01173,4.78495,4.78495
1.01662,4.78495,4.78495
1.02151,4.78495,4.78495
1.02639,4.78495,4.78495
1.03128,4.78495,4.78495
1.03617,4.78495,4.78495
1.04106,4.78006,4.78495
1.04594,4.78495,4.78006
1.05083,4.78006,4.78495
1.05572,4.78006,4.78495
1.06061,4.78006,4.78006
1.06549,4.78006,4.78006
1.07038,4.78006,4.78006
1.07527,4.78006,4.78006
1.08016,4.78006,4.78006
1.08504,4.78006,4.78006
1.08993,4.78006,4.78006
1.09482,4.78006,4.78006
1.09971,4.78006,4.78006
