SN74LS26N,Up,Down
0,0,0
0.00488759,0,0
0.00977517,0,0
0.0146628,0,0
0.0195503,0,0
0.0244379,0,0
0.0293255,0,0
0.0342131,0,0
0.0391007,0,0
0.0439883,0,0
0.0488759,0,0
0.0537634,0,0
0.058651,0,0
0.0635386,0,0
0.0684262,0,0
0.0733138,0,0
0.0782014,0,0
0.083089,0,0
0.0879765,0,0
0.0928641,0,0
0.0977517,0,0
0.102639,0,0
0.107527,0,0
0.112414,0,0
0.117302,0,0
0.12219,0,0
0.127077,0,0
0.131965,0,0
0.136852,0,0
0.14174,0,0
0.146628,0,0
0.151515,0,0
0.156403,0,0
0.16129,0,0
0.166178,0,0
0.171065,0,0
0.175953,0,0
0.180841,0,0
0.185728,0,0
0.190616,0,0
0.195503,0,0
0.200391,0,0
0.205279,0,0
0.210166,0,0
0.215054,0,0
0.219941,0,0
0.224829,0,0
0.229717,0,0
0.234604,0,0
0.239492,0,0
0.244379,0,0
0.249267,0,0
0.254154,0,0
0.259042,0,0
0.26393,0,0
0.268817,0,0
0.273705,0,0
0.278592,0,0
0.28348,0,0
0.288368,0,0
0.293255,0,0
0.298143,0,0
0.30303,0,0
0.307918,0,0
0.312805,0,0
0.317693,0,0
0.322581,0,0
0.327468,0,0
0.332356,0,0
0.337243,0,0
0.342131,0,0
0.347019,0,0
0.351906,0,0
0.356794,0,0
0.361681,0,0
0.366569,0,0
0.371457,0,0
0.376344,0,0
0.381232,0,0
0.386119,0,0
0.391007,0,0
0.395894,0,0
0.400782,0,0
0.40567,0,0
0.410557,0,0
0.415445,0,0
0.420332,0,0
0.42522,0,0
0.430108,0,0
0.434995,0,0
0.439883,0,0
0.44477,0,0
0.449658,0,0
0.454545,0,0
0.459433,0,0
0.464321,0,0
0.469208,0,0
0.474096,0,0
0.478983,0,0
0.483871,0,0
0.488759,0,0
0.493646,0,0
0.498534,0,0
0.503421,0,0
0.508309,0,0
0.513196,0,0
0.518084,0,0
0.522972,0,0
0.527859,0,0
0.532747,0,0
0.537634,0,0
0.542522,0,0
0.54741,0,0
0.552297,0,0
0.557185,0,0
0.562072,0,0
0.56696,0,0
0.571848,0,0
0.576735,0,0
0.581623,0,0
0.58651,0,0
0.591398,0,0
0.596285,0,0
0.601173,0,0
0.606061,0,0
0.610948,0,0
0.615836,0,0
0.620723,0,0
0.625611,0,0
0.630499,0,0
0.635386,0,0
0.640274,0,0
0.645161,0,0
0.650049,0,0
0.654936,0,0
0.659824,0,0
0.664712,0,0
0.669599,0,0
0.674487,0,0
0.679374,0,0
0.684262,0,0
0.68915,0,0
0.694037,0,0
0.698925,0,0
0.703812,0,0
0.7087,0,0
0.713587,0,0
0.718475,0,0
0.723363,0,0
0.72825,0,0
0.733138,0,0
0.738025,0,0
0.742913,0,0
0.747801,0,0
0.752688,0,0
0.757576,0,0
0.762463,0,0
0.767351,0,0
0.772239,0,0
0.777126,0,0
0.782014,0,0
0.786901,0,0
0.791789,0,0
0.796676,0,0
0.801564,0,0
0.806452,0,0
0.811339,0,0
0.816227,0,0
0.821114,0,0
0.826002,0,0
0.83089,0,0
0.835777,0,0
0.840665,0,0
0.845552,0,0
0.85044,0,0
0.855327,0,0
0.860215,0,0
0.865103,0,0
0.86999,0,0
0.874878,0,0
0.879765,0,0
0.884653,0,0
0.889541,0,0
0.894428,0,0
0.899316,0,0
0.904203,0,0
0.909091,0,0
0.913978,0,0
0.918866,0,0
0.923754,0,0
0.928641,0,0
0.933529,0,0
0.938416,0,0
0.943304,0,0
0.948192,0,0
0.953079,0,0
0.957967,0,0
0.962854,0,0
0.967742,0,0
0.97263,0,0
0.977517,0.00488759,0.00488759
0.982405,0.00488759,0.00488759
0.987292,0.00488759,0.00488759
0.99218,0.00977517,0.00977517
0.997067,0.00977517,0.00977517
1.00196,0.00977517,0.00977517
1.00684,0.0146628,0.0146628
1.01173,0.0146628,0.0146628
1.01662,0.0195503,0.0146628
1.02151,0.0195503,0.0195503
1.02639,0.0244379,0.0195503
1.03128,0.0244379,0.0244379
1.03617,0.0293255,0.0244379
1.04106,0.0293255,0.0293255
1.04594,0.0342131,0.0293255
1.05083,0.0342131,0.0342131
1.05572,0.0391007,0.0342131
1.06061,0.0391007,0.0391007
1.06549,0.0439883,0.0391007
1.07038,0.0439883,0.0439883
1.07527,0.0488759,0.0488759
1.08016,0.0537634,0.0488759
1.08504,0.0537634,0.0537634
1.08993,0.058651,0.0537634
1.09482,0.058651,0.058651
1.09971,0.0635386,0.058651
1.10459,0.0635386,0.0635386
1.10948,0.0684262,0.0684262
1.11437,0.0733138,0.0684262
1.11926,0.0733138,0.0733138
1.12414,0.0782014,0.0733138
1.12903,0.0782014,0.0782014
1.13392,0.083089,0.083089
1.13881,0.0879765,0.083089
1.1437,0.0879765,0.0879765
1.14858,0.0928641,0.0879765
1.15347,0.0928641,0.0928641
1.15836,0.0977517,0.0977517
1.16325,0.102639,0.0977517
1.16813,0.102639,0.102639
1.17302,0.107527,0.102639
1.17791,0.107527,0.107527
1.1828,0.112414,0.107527
1.18768,0.112414,0.112414
1.19257,0.117302,0.112414
1.19746,0.117302,0.117302
1.20235,0.117302,0.117302
1.20723,0.12219,0.117302
1.21212,0.12219,0.12219
1.21701,0.12219,0.12219
1.2219,0.127077,0.12219
1.22678,0.127077,0.127077
1.23167,0.127077,0.127077
1.23656,0.131965,0.127077
1.24145,0.131965,0.131965
1.24633,0.131965,0.131965
1.25122,0.131965,0.131965
1.25611,0.131965,0.131965
1.261,0.131965,0.131965
1.26588,0.131965,0.131965
1.27077,0.136852,0.131965
1.27566,0.131965,0.131965
1.28055,0.136852,0.136852
1.28543,0.136852,0.131965
1.29032,0.136852,0.136852
1.29521,0.131965,0.136852
1.3001,0.131965,0.136852
1.30499,0.136852,0.131965
1.30987,0.136852,0.136852
1.31476,0.136852,0.136852
1.31965,0.136852,0.136852
1.32454,0.136852,0.136852
1.32942,0.136852,0.136852
1.33431,0.136852,0.131965
1.3392,0.136852,0.136852
1.34409,0.136852,0.136852
